FacilityID;NationalID;FacilityName;PostalCode;CountryName;Lat;Long;CompetentAuthorityName;StreetName;BuildingNumber;City;MainIAActivityCode;MainIASectorName;MainIAActivityName;MainIASubActivityName;MainActivityIndicator;ReportingYear;PollutantName;PollutantGroupName;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;industrial category;Manually researched activity;comment;number no value;information status;FacilityID (Niklas);industrial category (Niklas);Manually researched activity (Niklas);Umbennenungen;local deviation(<>100m);1 latest FID;1 latest Name;1 latest Jahr;2 latest FID;2 latest Name;2 latest Jahr;2 älteste FID;2 oldest Name;2 oldest Jahr;1 oldest FID;1 oldest Name;1 oldest Jahr
2;000000002;"AB ""Achema""";LT-55550;Lithuania;55.082596;24.33405;Environmental Protection Agency;N/A;;Jonalaukis;4.(c);Chemical industry;Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers);;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;2290000000;2230000000;1130000000;1370000000;112000000;212000000;205000000;2380000000;2510000000;2230000000;2610000000;Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers);;;0;;2;Other;0;;;       ;;;;;;;;;;;
3;000000003;Kauno elektrine;LT-51142;Lithuania;54.92009;24.019529;Environmental Protection Agency;Taikos prospektas;147;Kaunas;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2015;Carbon dioxide (CO2);Greenhouse gases;554000000;529000000;512000000;496000000;432000000;396000000;304000000;200000000;128000000;0;0;NGCC power plant;NGCC power plant;2015 geschlossen;0;;3;Other;0;;;;;;;;;;;;;;
15;000000016;"AB ""Akmenės cementas""";LT-85118;Lithuania;56.314365;22.913087;Environmental Protection Agency;J. Dalinkevičiaus gatvė;2;Naujoji Akmenė;3.(c);Mineral industry;Installations for the production of:;  Cement clinker in rotary kilns;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;902000000;585000000;594000000;663000000;815000000;955000000;807000000;843000000;741000000;735000000;Installations for the production of:;;2007 nur NOx und CO, 2016 auf 2017 Standort geändert;1;4;15;Other;0;;;;;;;;;;;;;;
18;000000019;"Akcinė bendrovė ""ORLEN Lietuva""";LT-89467;Lithuania;56.312821;22.914165;Environmental Protection Agency;N/A;;Juodeikiai;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;  Oxygen containing hydrocarbons;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;1620000000;2090000000;2100000000;1970000000;1900000000;0;0;1630000000;1760000000;1830000000;1710000000;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;;2012-2013 keine CO2 Emission aber NOx und CO;2;4;18;Other;0;;;;;;;;;;;;;;
19;000000020;Pietinė katilinė;LT-78502;Lithuania;55.910989;23.312274;Šiauliai Regional Environmental Protection Department;Pramonės gatvė;10;Šiauliai;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2010;Carbon dioxide (CO2);Greenhouse gases;0;0;0;106000000;0;0;0;0;0;0;0;NGCC power plant;NGCC power plant;keine Information;10;4 und 5 ;;;;;;;;;;;;;;;;;
22;000000211;Lietuvos elektrinė;LT-26108;Lithuania;54.781038;24.644315;Environmental Protection Agency;Elektrinės gatvė;21;Elektrėnai;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2016;Carbon dioxide (CO2);Greenhouse gases;625000000;600000000;629000000;1140000000;683000000;919000000;575000000;394000000;455000000;201000000;0;NGCC power plant;NGCC power plant;2017 keine CO2 Daten, NOx wird ausgestoßen;1;4;22;NGCC power plant;NGCC power plant;;;;;;;;;;;;;;
23;000000024;Termofikacinė elektrinė Nr. 3 (E-3);LT-02300;Lithuania;54.667798;25.155883;Environmental Protection Agency;Jočionių gatvė;3;Vilnius;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2015;Carbon dioxide (CO2);Greenhouse gases;0;0;0;487000000;0;297000000;294000000;207000000;193000000;0;0;NGCC power plant;NGCC power plant;2015 geschlossen, Sulphuroxide werden immer vor 2015 ausgestoßen;4;4;;;;;;;;;;;;;;;;;
24;000000025;Termofikacinė elektrinė Nr. 2 (E-2);LT-02300;Lithuania;54.666087;25.235453;Environmental Protection Agency;Elektrinės gatvė;2;Vilnius;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;326000000;305000000;362000000;329000000;257000000;1970000000;318000000;159000000;NGCC power plant;NGCC power plant;NOx wird immer ausgestoßen;3;4;24;NGCC power plant;NGCC power plant;;;;;;;;;;;;;;
67;2007001859;CENTRALE TERMOELETTRICA DI COGENERAZIONE DI MONCALIERI;10024;Italy;44.994722;7.676388;ISPRA;VIA FREYLIA MEZZI;1;MONCALIERI;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;1030000000;1210000000;1470000000;1570000000;1710000000;1440000000;1570000000;1100000000;962000000;1190000000;1460000000;NGCC power plant;NGCC power plant;;;;67;NGCC power plant;NGCC power plant;;;;;;;;;;;;;;
72;2007001794;SITO BASSE DI STURA;10156;Italy;45.103056;7.693889;ISPRA;VIA Germagnano;50;TORINO;5.(d);Waste and waste water management;Landfills (see note in Guidance Document);;TRUE;2010;Carbon dioxide (CO2);Greenhouse gases;150000000;148000000;131000000;109000000;0;0;0;0;0;0;0;Landfills (see note in Guidance Document);;2011 geschlossenn 2011 noch Methan;1;2;;;;;;;;;;;;;;;;;
73;2007001004;CENTRALE BG ITALIA POWER DI RIVALTA;10040;Italy;44.989722;7.509444;ISPRA;VIA Pinerolo;60;RIVALTA DI TORINO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2011;Carbon dioxide (CO2);Greenhouse gases;141000000;131000000;134000000;147000000;132000000;0;0;0;0;0;0;NGCC power plant;NGCC power plant;2011 geschlossen;;;73;Other;0;;;;;;;;;;;;;;
74;2007001816;CENTRALE TERMOELETTRICA DI CHIVASSO;10034;Italy;45.183333;7.883333;ISPRA;VIA MEZZANO;69;CHIVASSO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;2080000000;1830000000;1150000000;887000000;925000000;757000000;228000000;0;144000000;366000000;807000000;NGCC power plant;NGCC power plant;2014 keine Emission, Anlage wurde überholt;1;3;74;NGCC power plant;NGCC power plant;;;;;;;;;;;;;;
77;2007001844;AHLSTROM TURIN SPA;10075;Italy;45.253333;7.539722;ISPRA;Via Stura;98;MATHI;6.(b);Paper and wood production processing;Industrial plants for the production of paper and board and other primary wood products;;TRUE;2012;Carbon dioxide (CO2);Greenhouse gases;139000000;120000000;117000000;129000000;126000000;123000000;0;0;0;0;0;Industrial plants for the production of paper and board and other primary wood products;;Umbennenung;;;77;Other;0;1;;;;;212481;Ahlstrom-Munksjö Italia S.p.A.;2013;;;;;;
87;2007001835;Comprensorio industriale di Mirafiori (TO);10135;Italy;45.072222;7.678611;ISPRA;CORSO SETTEMBRINI;90;TORINO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;452000000;388000000;383000000;322000000;221000000;187000000;190000000;200000000;172000000;107000000;110000000;unspecified;unspecified;;;;87;Other;0;;;;;;;;;;;;;;
93;2007001677;ENEL PRODUZIONE SPA - CENTRALE DI LERI;13039;Italy;45.253611;8.192222;ISPRA;LOC LERI;SNC;TRINO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2009;Carbon dioxide (CO2);Greenhouse gases;259000000;385000000;148000000;0;0;0;0;0;0;0;0;NGCC power plant;NGCC power plant;2009 geschlossen;;;;;;;;;;;;;;;;;;;
99;2007001344;Columbian Carbon Europa S.r.l.;28069;Italy;45.433386;8.741663;ISPRA;Via San Cassiano;140;TRECATE;4.(b);Chemical industry;Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;211000000;187000000;138000000;159000000;162000000;105000000;100000000;104000000;110000000;121000000;111000000;Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:;;Standort ändert sich leicht 2012;;;99;Other;0;;<100;;;;;;;;;;;;
103;2007001334;RAFFINERIA SARPOM DI TRECATE;28069;Italy;45.437777;8.789166;ISPRA;VIA VIGEVANO;43;TRECATE;1.(a);Energy sector;Mineral oil and gas refineries;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;1210000000;1140000000;1160000000;1140000000;1110000000;1060000000;1070000000;929000000;1040000000;1020000000;1030000000;Mineral oil and gas refineries;;;;;103;Other;0;;;;;;;;;;;;;;
107;2007001108;Novel S.p.A.;28100;Italy;45.440577;8.616636;ISPRA;Via Gherzi;38/40;NOVARA;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;313000000;305000000;297000000;321000000;336000000;289000000;312000000;298000000;304000000;251000000;321000000;NGCC power plant;NGCC power plant;Standort ändert sich leicht 2015;;;107;Other;0;;<100;;;;;;;;;;;;
108;2007000662;FERRERO INDUSTRIALE ITALIA S.r.l. con socio unico - Stabilimento di Alba;12051;Italy;44.698611;8.023611;ISPRA;Piazzale Pietro Ferrero;1;ALBA;8.(b);Animal and vegetable products from the food and beverage sector;Treatment and processing intended for the production of food and beverage products from:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;0;0;0;0;0;218000000;Treatment and processing intended for the production of food and beverage products from:;;HCFCs vor 2017;10;4;;;;;;;;;;;;;;;;;
110;2007000149;Cementeria di Borgo San Dalmazzo;12011;Italy;44.316667;7.466667;ISPRA;REG Italcementi;5;BORGO SAN DALMAZZO;3.(c);Mineral industry;Installations for the production of:;  Cement clinker in rotary kilns;TRUE;2008;Carbon dioxide (CO2);Greenhouse gases;368000000;318000000;0;0;0;0;0;0;0;0;0;Installations for the production of:;;;9;5;;;;;;;;;;;;;;;;;
111;2007000022;CEMENTERIA DI ROBILANTE;12017;Italy;44.283333;7.5;ISPRA;Strada Piansottano;1;ROBILANTE;3.(c);Mineral industry;Installations for the production of:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;1240000000;986000000;855000000;1090000000;1110000000;764000000;855000000;789000000;760000000;693000000;733000000;Installations for the production of:;;;;;111;Other;0;;;;;;;;;;;;;;
112;2007000208;UNICALCE S.P.A. - STABILIMENTO DI BERNEZZO;12010;Italy;44.391111;7.4175;ISPRA;Via Aldo Bruno;27;BERNEZZO;3.(c);Mineral industry;Installations for the production of:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;131000000;121000000;120000000;150000000;146000000;130000000;122000000;103000000;106000000;129000000;149000000;Installations for the production of:;;;;;112;Other;0;;;;;;;;;;;;;;
115;2007000055;CENTRALE TERMOELETTRICA DI VERZUOLO;12039;Italy;44.594166;7.484722;ISPRA;VIA ROMA;26;VERZUOLO;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;417000000;411000000;389000000;413000000;423000000;426000000;385000000;378000000;367000000;356000000;350000000;Hackschnitzel nur Wärme;Hackschnitzel nur Wärme;;;;115;Other;0;;;;;;;;;;;;;;
120;2007000659;Sedamyl Spa;12037;Italy;44.649444;7.483333;ISPRA;Via Monviso;24;SALUZZO;8.(b);Animal and vegetable products from the food and beverage sector;Treatment and processing intended for the production of food and beverage products from:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;0;0;0;102000000;102000000;106000000;Treatment and processing intended for the production of food and beverage products from:;;2007 Nox genau grenzwert;8;4 und 5 ;;;;;;;;;;;;;;;;;
121;2007000658;AGC FLAT GLASS ITALIA S.r.l. - SITO DI CUNEO;12100;Italy;44.386666;7.590833;ISPRA;VIA GENOVA;31;CUNEO;3.(e);Mineral industry;Installations for the manufacture of glass, including glass fibre;;TRUE;2016;Carbon dioxide (CO2);Greenhouse gases;122000000;123000000;119000000;119000000;115000000;113000000;116000000;122000000;120000000;127000000;0;Installations for the manufacture of glass, including glass fibre;;2017 NOx;1;4;121;Other;0;;;;;;;;;;;;;;
132;2007000028;ILVA SPA STABILIMENTO DI NOVI LIGURE;15067;Italy;44.776388;8.764722;ISPRA;VIA BOSCOMARENGO;1;NOVI LIGURE;2.(f);Productiona and processing of metals;Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;0;0;115000000;106000000;111000000;106000000;Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;;keine Information;7;3;;;;;;;;;;;;;;;;;
134;2007001689;Cofathec Energia Srl - Contrale termoelettrica di Spinetta Marengo;15100;Italy;44.885556;8.670278;ISPRA;PZA Donegani;5/6;ALESSANDRIA;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2007;Carbon dioxide (CO2);Greenhouse gases;117000000;0;0;0;0;0;0;0;0;0;0;unspecified;unspecified;Firmenübernahme;;;;;;1;;;;;117396;Cogeneration Spinetta S.p.a - Centrale di cogenerazione Spinetta Marengo;2008;;;;;;
135;2007000010;Roquette Italia S.p.A.;15063;Italy;44.761111;8.856111;ISPRA;Via Serravalle;26;CASSANO SPINOLA;8.(b);Animal and vegetable products from the food and beverage sector;Treatment and processing intended for the production of food and beverage products from:;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;225000000;236000000;210000000;217000000;222000000;0;245000000;249000000;243000000;241000000;241000000;Treatment and processing intended for the production of food and beverage products from:;;2012 keine Daten;1;5;135;Other;0;;;;;;;;;;;;;;
137;100376880;Zoltek Zrt.;2537;Hungary;47.760262;18.573961;Észak-dunántúli KTVF;Varga József tér;1.;Nyergesújfalu;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;  Basic plastic materials (polymers, synthetic fibres and cellulose based fibres);TRUE;2015;Carbon dioxide (CO2);Greenhouse gases;0;0;0;0;0;145000000;145000000;0;115000000;0;0;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;;andere Emissionen bis auf 2017;8;4 und 5 ;;;;;;;;;;;;;;;;;
138;100333366;Holcim Hungária Cementipari Zrt.;2541;Hungary;47.7510882;18.5063592;Észak-dunántúli KTVF;Rákóczi u.;60.;Lábatlan;3.(c);Mineral industry;Installations for the production of:;  Cement clinker in rotary kilns;TRUE;2012;Carbon dioxide (CO2);Greenhouse gases;336000000;337000000;164000000;114000000;149000000;168000000;0;0;0;0;0;Installations for the production of:;;2013 geschlossen, 2014 NOx Emissionen;1;1 und 2;138;Other;0;;;;;;;;;;;;;;
140;100328605;Vértesi Erőmű Zrt.;2840;Hungary;47.501688;18.271041;Észak-dunántúli KTVF;Külterület;Hrsz.: 0718/7.;Oroszlány;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2015;Carbon dioxide (CO2);Greenhouse gases;1840000000;1650000000;1400000000;722000000;958000000;934000000;1040000000;666000000;427000000;0;0;Coal power plant;Coal power plant;2015 geschlossen;;;140;Coal power plant;Coal power plant;;;;;;;;;;;;;;
142;101281761;Tatabánya Erőmű Kft.;2800;Hungary;47.560344;18.426762;Győr-Moson-S/Komárom-E Megyei KH - KTFO;Vájár;2.;Tatabánya;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;128000000;130000000;133000000;130000000;114000000;100000000;101000000;0;110000000;0;105000000;teilweise Biomasse seit 2021 NGCC power plant;teilweise Biomasse seit 2021 NGCC power plant;2014 2016 Nox ;2;4;;;;;;;;;;;;;;;;;
158;100312660;Győr-Szol Győri Közszolgáltató és Vagyongazdálkodó Zrt.;9028;Hungary;47.682212;17.671181;Észak-dunántúli KTVF;Rozgonyi utca;44.;Győr;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2013;Carbon dioxide (CO2);Greenhouse gases;126000000;123000000;127000000;128000000;0;108000000;103000000;0;0;0;0;NGCC power plant;NGCC power plant;2011 erweitert, ab 2014 keine Daten;4;2, 4, 5;;;;;;;;;;;;;;;;;
183;100385055;Dorog-Esztergom Erőmű Kft.;2510;Hungary;47.723945;18.72642;Észak-dunántúli KTVF;Esztergomi út;17.;Dorog;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2012;Carbon dioxide (CO2);Greenhouse gases;0;0;0;114000000;139000000;113000000;0;0;0;0;0;teilweise Biomasse NGCC power plant;teilweise Biomasse NGCC power plant;Teilweise Nox ;8;4 und 5 ;183;Other;0;;;;;;;;;;;;;;
185;0180-81-003;HÄSSELBYVERKET;165 65;Sweden;59.36258259;17.825217;Stockholms kommun;Vassbrinken 5;;HÄSSELBY;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;351000000;415000000;534000000;581000000;447000000;427000000;540000000;276000000;197000000;183000000;241000000;BHKW Holz und Öl;BHKW Holz und Öl;;;;185;Other;0;;;;;;;;;;;;;;
186;0180-81-004;HÖGDALENVERKET;12459;Sweden;59.27574525;18.09693379;Stockholms kommun;Kvicksundsvägen 16;;STOCKHOLM;5.(b);Waste and waste water management;Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;0;0;729000000;771000000;776000000;802000000;772000000;767000000;721000000;808000000;722000000;Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste;;N2O Emissionen;2;4;186;Other;Other;;;;;;;;;;;;;;
187;0180-81-006;VÄRTAVERKET;11577;Sweden;59.35263441;18.10088242;Stockholms kommun;Jägmästargatan 2c;;STOCKHOLM;1.(c);Energy sector;Thermal power stations and other combustion installations;;TRUE;2017;Carbon dioxide (CO2);Greenhouse gases;779000000;752000000;1000000000;1080000000;763000000;625000000;751000000;595000000;653000000;1290000000;1870000000;BHKW nur Holz;BHKW nur Holz;;;;187;Coal power plant;Coal power plant;;;;;;;;;;;;;;
