FacilityID;NationalID;FacilityName;PostalCode;CountryName;Lat;Long;CompetentAuthorityName;StreetName;BuildingNumber;City;MainIAActivityCode;MainIASectorName;MainIAActivityName;MainIASubActivityName;MainActivityIndicator;ReportingYear;PollutantName;PollutantGroupName;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;industrial category;Manually researched activity;comment;number no value;information status;FacilityID (Niklas);industrial category (Niklas);Manually researched activity (Niklas);Umbennenungen;local deviation(<>100m);1 latest FID;1 latest Name;1 latest Jahr;2 latest FID;2 latest Name;2 latest Jahr;2 älteste FID;2 oldest Name;2 oldest Jahr;1 oldest FID;1 oldest Name;1 oldest Jahr;Category;Concentration
2.0;000000002;"AB ""Achema""";LT-55550;Lithuania;55.082596;24.33405;Environmental Protection Agency;0;0;Jonalaukis;4.(c);Chemical industry;Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers);0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;2290000000.0;2230000000.0;1130000000.0;1370000000.0;112000000.0;212000000.0;205000000.0;2380000000.0;2510000000.0;2230000000.0;2610000000.0;Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers);0;0;0.0;0;2.0;Other;0;0.0;0;       ;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Ammonia;100%
3.0;000000003;Kauno elektrine;LT-51142;Lithuania;54.92009;24.019529;Environmental Protection Agency;Taikos prospektas;147;Kaunas;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2015.0;Carbon dioxide (CO2);Greenhouse gases;554000000.0;529000000.0;512000000.0;496000000.0;432000000.0;396000000.0;304000000.0;200000000.0;128000000.0;0.0;0.0;NGCC power plant;NGCC power plant;2015 geschlossen;0.0;0;3.0;Other;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
15.0;000000016;"AB ""Akmenės cementas""";LT-85118;Lithuania;56.314365;22.913087;Environmental Protection Agency;J. Dalinkevičiaus gatvė;2;Naujoji Akmenė;3.(c);Mineral industry;Installations for the production of:;  Cement clinker in rotary kilns;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;0.0;902000000.0;585000000.0;594000000.0;663000000.0;815000000.0;955000000.0;807000000.0;843000000.0;741000000.0;735000000.0;Installations for the production of:;0;2007 nur NOx und CO, 2016 auf 2017 Standort geändert;1.0;4;15.0;Other;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Cement;14-33%
18.0;000000019;"Akcinė bendrovė ""ORLEN Lietuva""";LT-89467;Lithuania;56.312821;22.914165;Environmental Protection Agency;0;0;Juodeikiai;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;  Oxygen containing hydrocarbons;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;1620000000.0;2090000000.0;2100000000.0;1970000000.0;1900000000.0;0.0;0.0;1630000000.0;1760000000.0;1830000000.0;1710000000.0;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;0;2012-2013 keine CO2 Emission aber NOx und CO;2.0;4;18.0;Other;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Other;n/a
19.0;000000020;Pietinė katilinė;LT-78502;Lithuania;55.910989;23.312274;Šiauliai Regional Environmental Protection Department;Pramonės gatvė;10;Šiauliai;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2010.0;Carbon dioxide (CO2);Greenhouse gases;0.0;0.0;0.0;106000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NGCC power plant;NGCC power plant;keine Information;10.0;4 und 5 ;0.0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
22.0;000000211;Lietuvos elektrinė;LT-26108;Lithuania;54.781038;24.644315;Environmental Protection Agency;Elektrinės gatvė;21;Elektrėnai;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2016.0;Carbon dioxide (CO2);Greenhouse gases;625000000.0;600000000.0;629000000.0;1140000000.0;683000000.0;919000000.0;575000000.0;394000000.0;455000000.0;201000000.0;0.0;NGCC power plant;NGCC power plant;2017 keine CO2 Daten, NOx wird ausgestoßen;1.0;4;22.0;NGCC power plant;NGCC power plant;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
23.0;000000024;Termofikacinė elektrinė Nr. 3 (E-3);LT-02300;Lithuania;54.667798;25.155883;Environmental Protection Agency;Jočionių gatvė;3;Vilnius;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2015.0;Carbon dioxide (CO2);Greenhouse gases;0.0;0.0;0.0;487000000.0;0.0;297000000.0;294000000.0;207000000.0;193000000.0;0.0;0.0;NGCC power plant;NGCC power plant;2015 geschlossen, Sulphuroxide werden immer vor 2015 ausgestoßen;4.0;4;0.0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
24.0;000000025;Termofikacinė elektrinė Nr. 2 (E-2);LT-02300;Lithuania;54.666087;25.235453;Environmental Protection Agency;Elektrinės gatvė;2;Vilnius;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;0.0;0.0;0.0;326000000.0;305000000.0;362000000.0;329000000.0;257000000.0;1970000000.0;318000000.0;159000000.0;NGCC power plant;NGCC power plant;NOx wird immer ausgestoßen;3.0;4;24.0;NGCC power plant;NGCC power plant;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
67.0;2007001859;CENTRALE TERMOELETTRICA DI COGENERAZIONE DI MONCALIERI;10024;Italy;44.994722;7.676388;ISPRA;VIA FREYLIA MEZZI;1;MONCALIERI;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;1030000000.0;1210000000.0;1470000000.0;1570000000.0;1710000000.0;1440000000.0;1570000000.0;1100000000.0;962000000.0;1190000000.0;1460000000.0;NGCC power plant;NGCC power plant;0;0.0;0;67.0;NGCC power plant;NGCC power plant;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
72.0;2007001794;SITO BASSE DI STURA;10156;Italy;45.103056;7.693889;ISPRA;VIA Germagnano;50;TORINO;5.(d);Waste and waste water management;Landfills (see note in Guidance Document);0;True;2010.0;Carbon dioxide (CO2);Greenhouse gases;150000000.0;148000000.0;131000000.0;109000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Landfills (see note in Guidance Document);0;2011 geschlossenn 2011 noch Methan;1.0;2;0.0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Other;n/a
73.0;2007001004;CENTRALE BG ITALIA POWER DI RIVALTA;10040;Italy;44.989722;7.509444;ISPRA;VIA Pinerolo;60;RIVALTA DI TORINO;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2011.0;Carbon dioxide (CO2);Greenhouse gases;141000000.0;131000000.0;134000000.0;147000000.0;132000000.0;0.0;0.0;0.0;0.0;0.0;0.0;NGCC power plant;NGCC power plant;2011 geschlossen;0.0;0;73.0;Other;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
74.0;2007001816;CENTRALE TERMOELETTRICA DI CHIVASSO;10034;Italy;45.183333;7.883333;ISPRA;VIA MEZZANO;69;CHIVASSO;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;2080000000.0;1830000000.0;1150000000.0;887000000.0;925000000.0;757000000.0;228000000.0;0.0;144000000.0;366000000.0;807000000.0;NGCC power plant;NGCC power plant;2014 keine Emission, Anlage wurde überholt;1.0;3;74.0;NGCC power plant;NGCC power plant;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
77.0;2007001844;AHLSTROM TURIN SPA;10075;Italy;45.253333;7.539722;ISPRA;Via Stura;98;MATHI;6.(b);Paper and wood production processing;Industrial plants for the production of paper and board and other primary wood products;0;True;2012.0;Carbon dioxide (CO2);Greenhouse gases;139000000.0;120000000.0;117000000.0;129000000.0;126000000.0;123000000.0;0.0;0.0;0.0;0.0;0.0;Industrial plants for the production of paper and board and other primary wood products;0;Umbennenung;0.0;0;77.0;Other;0;1.0;0;0;0;0.0;212481.0;Ahlstrom-Munksjö Italia S.p.A.;2013;0.0;0;0.0;0.0;0;0.0;Pulp and Paper;7-20%
87.0;2007001835;Comprensorio industriale di Mirafiori (TO);10135;Italy;45.072222;7.678611;ISPRA;CORSO SETTEMBRINI;90;TORINO;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;452000000.0;388000000.0;383000000.0;322000000.0;221000000.0;187000000.0;190000000.0;200000000.0;172000000.0;107000000.0;110000000.0;unspecified;unspecified;0;0.0;0;87.0;Other;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Power plant(unspecified);3-8%
93.0;2007001677;ENEL PRODUZIONE SPA - CENTRALE DI LERI;13039;Italy;45.253611;8.192222;ISPRA;LOC LERI;SNC;TRINO;1.(c);Energy sector;Thermal power stations and other combustion installations;0;True;2009.0;Carbon dioxide (CO2);Greenhouse gases;259000000.0;385000000.0;148000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NGCC power plant;NGCC power plant;2009 geschlossen;0.0;0;0.0;0;0;0.0;0;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;NGCC power plant;3-4%
99.0;2007001344;Columbian Carbon Europa S.r.l.;28069;Italy;45.433386;8.741663;ISPRA;Via San Cassiano;140;TRECATE;4.(b);Chemical industry;Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:;0;True;2017.0;Carbon dioxide (CO2);Greenhouse gases;211000000.0;187000000.0;138000000.0;159000000.0;162000000.0;105000000.0;100000000.0;104000000.0;110000000.0;121000000.0;111000000.0;Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:;0;Standort ändert sich leicht 2012;0.0;0;99.0;Other;0;0.0;<100;0;0;0.0;0.0;0;0;0.0;0;0.0;0.0;0;0.0;Other;n/a
